target,frequency,num_of_docs_occured
Shoe Factory,133,102
Big Ship,132,87
One Step at a Time,130,96
Hounds of Love,128,73
Red Headed Stranger,125,59
Fear of a Black Planet,121,67
Use Your Illusion II,120,66
Licensed to Ill,116,78
Shame Shame Shame,114,45
Skydancer,112,53
Wu-Tang Forever,110,62
The Fat of the Land,109,63
Country Gold,104,80
The Water Is Wide,103,79
The Low End Theory,102,52
Legalize It,96,66
3 Feet High and Rising,95,61
Midnight Marauders,94,57
Balls to the Wall,81,64
The Real Folk Blues,79,47
Always On My Mind,78,68
Judge Dread,74,53
Greatest Hits: My Prerogative,69,34
Ill Communication,68,50
God Hates Us All,66,33
D.I.S.C.O.,64,43
Ghetto Supastar,64,31
I Care 4 U,64,26
King of the Delta Blues,63,38
I Wanna Be With You,61,54
I Still Believe in You,60,38
Supposed Former Infatuation Junkie,60,36
Foreign Intrigue,59,43
Forty Licks,59,53
Here Comes the Hotstepper,54,33
King of the Delta Blues Singers,54,30
Disco Duck,52,31
The Dream of the Blue Turtles,51,35
Experimentals,50,43
Guitar & Bass,50,33
On the Riviera,50,43
The Mystery of Life,46,33
Fistful of Metal,46,30
I Feel the Spirit,44,35
When I Call Your Name,43,31
Raise!,39,26
Kung Fu Fighter,39,30
Denim and Leather,37,27
Too Hot to Sleep,36,25
For Adults Only,36,31
Jacob's Dream,35,28
Seminole Wind,34,25
It's Your Call,33,27
Imperfectly,33,29
Keeps Gettin' Better: A Decade of Hits,30,20
Me and Paul,29,22
Down the Road I Go,29,20
Disco Nights,27,21
Thank You For The Music,26,24
This Is the Remix,25,17
The Clark Family Experience,25,11
Somewhere In Time,24,22
Living with the Past,23,16
The World Should Know,22,12
When Seconds Count,21,17
Mouth To Mouth,21,18
Who Needs Pictures,20,11
Pocket Full of Gold,20,17
No More Color,19,11
A Horse Called Music,19,14
Working Class Dog,18,13
6:66 Satan's Child,18,10
Art Official Intelligence: Mosaic Thump,17,12
The Beautyful Ones Are Not Yet Born,17,14
The Woman In Me,17,11
Native Heart,17,15
"Beats, Rhymes & Life",16,12
Talk Back Trembling Lips,15,13
It Always Will Be,15,13
Reign In Blood,15,12
Fight The Power,15,15
Money In My Pocket,14,9
Like Swimming,13,8
Art of the Big Band,12,12
King of Ska,12,9
Bayou Blues,12,12
Not a Pretty Girl,10,6
Rock You Baby,10,6
My Xperience,9,5
Deputy of Love,9,6
Essential Hits,9,7
House of the Blues,9,8
I'm Doin' Fine Now,8,8
I Still Believe In You,8,7
A Fantasy Love Affair,8,4
All 'N All,7,6
Mayan Temples,7,6
The Promiseland,7,6
Fly Robin Fly,7,7
Where There's Smoke There's Fire,7,7
Soon Forward,7,4
Taking It Home,7,6
Ram Jam World,6,5
The Best of George Jones,6,4
City Of New Orleans,6,5
Natural Mystic: The Legend Lives On,6,6
Anthology: The Sounds of Science,6,6
The Willie Way,6,4
Rasta Business,6,4
Shine Eyed Mister Zen,5,4
"So Near, So Far (Musings for Miles)",5,5
In Through the Out Door (Deluxe Edition),5,3
African Flight,5,3
The Best of Dennis Brown,4,1
The Ultimate Bee Gees,4,2
Reaching for the Best,4,4
Disco Tex & His Sex-O-Lettes,4,3
Best of Number Ones,3,2
Bernstein Conducts Bernstein,3,2
"Hits, Rarities & Remixes",3,3
Trustmaker,3,3
On The 6,3,3
Revised Quest for the Seasoned Traveller,3,3
20th Century Hits,3,3
Extinction Level Event: The Final World Front,3,1
Yeah Man!,3,2
Fun Street,3,2
Menagerie: The Essential Zydeco Collection,2,2
Beethoven: The Symphonies,2,2
Live At Wembley Stadium,2,2
Living Dub Volume 3,2,2
"Vivaldi's ""The Four Seasons""",2,2
Exodus (Deluxe Edition),2,2
Ten Years Of Gold,2,1
It Serves You Right to Suffer,2,2
The Best of Survivor,2,2
The Classic Blue Note Recordings,2,1
The Story of Neptune,2,2
Oldies Are Now,2,2
The Writing's On the Wall,1,1
Don't Go near the Water,1,1
My All EP,1,1
2 Hot!,1,1
People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),1,1
"Strait Out of the Box, Pt. 2",1,1
At JD's,1,1
100% Fortified Zydeco,1,1
Dry And Heavy,1,1
Baby Come to Me: The Best of Regina Belle,1,1
King Tubby's Special,1,1
Chicas de Hoy,1,1
Somewhere out in Space,1,1
Best of Vince Gill,1,1
Trascendiendo,1,1
Love American Style EP,1,1
Soulful Swinging,1,1
Chronicles EP,1,1
San Francisco Macho Man,0,0
Sesión de Reiki – Olas del Mar y Recopilación de Sondios de la Naturaleza para Sanación Energética,0,0
Saddle Up (Remixes) - EP,0,0
"Schubert: Piano Sonatas, D. 960 & D. 664",0,0
Schubert: The Last Three Piano Sonatas,0,0
Schubert: Wandererfantasie,0,0
Rewrite the Stars - Movie Hits,0,0
Rio After Dark (Live In Rio de Janeiro 1980),0,0
Ride the Lightning (Remastered),0,0
The Complete Blue Note Sixties Sessions,0,0
Silk Degrees (Bonus Track Version),0,0
Two Worlds One Heart,0,0
The Hawk In Hifi,0,0
The Love Movement (Deluxe Edition),0,0
The Real Quietstorm,0,0
The Singles Collection (Deluxe Version),0,0
The Stone Roses (20th Anniversary Collector's Edition),0,0
The Stone Roses (Remastered),0,0
The Studio Album Collection 1977-1992,0,0
Too Old to Rock 'N' Roll: Too Young to Die! (40th Anniversary TV Special Edition) [2015 Steven Wilson Remix],0,0
Top 55 Classics - The Very Best of Dexter Gordon,0,0
Trust - EP,0,0
Uprising (2013 Remaster),0,0
"The Grainger Edition, Vol. 4",0,0
Vivid (Expanded Edition),0,0
War Child (Bonus Tracks Edition) [2002 Remaster],0,0
Wild Things (Original Motion Picture Soundtrack),0,0
Willie Nelson The Collection,0,0
With His Hot and Blue Guitar (feat. The Tennessee Two),0,0
Women To The Front: Shania Twain - EP,0,0
World On a String (Remastered),0,0
Would You Take Another Chance On Me?,0,0
Wyclef Jean presents The Carnival featuring Refugee Allstars,0,0
Zodico Blues & Boogie,0,0
The Harder They Come (Original Motion Picture Soundtrack),0,0
The Essential Billy Squier,0,0
Simply Miquel Brown,0,0
Survival (2013 Remaster),0,0
Sings His Hit Song Ten Commandments,0,0
Smooth Talk (Expanded Edition),0,0
Snap (Bonus Track Version),0,0
Somewhere Far Beyond (Remastered 2007),0,0
Sonic Factories,0,0
Soul Sisters - Single,0,0
Soundtrack to the Apocalypse (Deluxe Edition),0,0
Stand Up (2010 Collector's Edition) [2001 Remaster],0,0
Sticky Fingers (2015 Remaster),0,0
Strauss: Complete Chamber Music - Piano & Horn,0,0
"Symphonies Nos. 26, 35 & 49",0,0
The Crown Prince of Reggae: Singles (1972-1985),0,0
"Szymanowski, K.: Violin Concertos Nos. 1 and 2 - Concert Overture",0,0
"T'es OK, t'es bath, t'es In - EP",0,0
Talk Much (Remixes) - Single,0,0
Tavares - Whodunit - Live!,0,0
Ter Veldhuis: Complete Solo Piano Music,0,0
"The African Museum & Tad's Collection, Vol. 1",0,0
The Ashford & Simpson Songbook,0,0
The Best of Jimmy Cliff (1975),0,0
The Best of the Kentucky Headhunters - Still Pickin',0,0
Reggae Collected,0,0
"Reggae, Reggae, Reggae!",0,0
...Baby One More Time (Deluxe Version),0,0
Reggae Anthology: Niney the Observer - Roots With Quality,0,0
Coleman Hawkins – Godfather of Bop (1944-49),0,0
Country Masters: Rocky Top,0,0
Country Classics Vol. 1,0,0
"Copland: Appalachian Spring / W. H. Schuman: American Festival Overture / Barber: Adagio For Strings, Op. 11 / Bernstein: Overture Candide (Live)",0,0
Confrontation (2013 Remaster),0,0
Complete Captured Live (2002 Remaster),0,0
Comeblack (Special Edition),0,0
Coleman Hawkins: Greatest Hits,0,0
"Coleman Hawkins Selected Hits (Vol. 7, Original)",0,0
Crown Royal (Expanded Edition),0,0
Coleman Hawkins Selected Favorites Vol. 14,0,0
Coleman Hawkins Selected Favorites Vol. 1,0,0
Coleman Hawkins (CD2),0,0
Cold Snap (Remastered),0,0
Clifton's Squeeze-Box Boogie,0,0
Classics for Tennis,0,0
Christina Aguilera (Expanded Edition),0,0
Country Music - A Film by Ken Burns (The Soundtrack) [Deluxe],0,0
Dance Masters: Sailing,0,0
Reggae Anthology: Melody Life,0,0
Fields of Gold (feat. Antonio Hart & Bill Cunliffe),0,0
"Gershwin: Rhapsody in Blue, An American in Paris, Concerto in F",0,0
Gershwin: Rhapsody in Blue - Copland: Appalachian Spring - Barber: Adagio for Strings,0,0
Genesis - Single,0,0
From the Vault: No Security - San Jose 1999 (Live),0,0
Fridays For Future - EP,0,0
Found a Cure - EP,0,0
Filtered African Blues - Single,0,0
Fear of a Black Planet (Deluxe Edition),0,0
David Bowie (2015 Remaster),0,0
Farover (Remastered),0,0
Exodus (Bonus Track Version),0,0
Enter Sandman - EP,0,0
Engine 54 (Expanded Version),0,0
Disco Nights (Expanded Edition),0,0
"Debussy: String Quartet in G Minor, Op. 10, L. 85 - Ravel: String Quartet in F Major, M. 35",0,0
"Debussy, Ravel & Dutilleux: String Quartets",0,0
Check Your Head (Deluxe Version) [Remastered],0,0
Catch a Fire (Deluxe Edition),0,0
Carl Carlton (Expanded Edition),0,0
Alicia Bridges: The Collection,0,0
At Tha Movies - EP,0,0
Arrival (Bonus Track Version),0,0
"Armin Only - Intense ""The Music""",0,0
"An Exciting Evening at Home with Shadrach, Meshach and Abednego - EP",0,0
American Pie - Single,0,0
"All Star Sessions, Volume 2: Hot Mallets",0,0
All I Ever Meant To Do Was Sing,0,0
Absent (aka Unattended),0,0
Can't Take Me Home (Expanded Edition),0,0
ABBA (Bonus Track Version),0,0
A to Z of Coleman Hawkins Vol.2 (Digitally Remastered),0,0
A War to Restore,0,0
A Complete Introduction to Disco,0,0
"80's and 90's Style, Vol. 3",0,0
50 Classics For Babies (By Classic FM),0,0
15 Classic Tracks: KC and the Sunshine Band,0,0
At tha Movies - EP,0,0
BD Music Presents Hank Williams,0,0
BD Music Presents Sarah Vaughan,0,0
"Bach, J.S. - Bach, C.P.E.: Oboe Concertos",0,0
British Steel (Bonus Track Version),0,0
Boney M. - 2 in 1 (In the Mix/The Best 12inch Versions),0,0
Bobby Bare 2,0,0
Bob Marley Legacy: 75 Years A Legend - EP,0,0
Blues Legends: Magic Slim,0,0
Blizzard of Ozz (40th Anniversary Expanded Edition),0,0
Blast from the Bayou,0,0
Blackman's Foundation,0,0
Bernstein: West Side Story - Symphonic Dances,0,0
Beggars Banquet (Remastered),0,0
Beethoven : Piano Sonatas,0,0
Battle of the Year (Original Motion Picture Soundtrack),0,0
Barrington Levy's DJ Counteraction (11 Classic Hits Re-Charged),0,0
"Barenboim & Chicago Symphony Orchestra - The Erato-Teldec Recordings, Vol. 2",0,0
Backtracks (Deluxe Edition),0,0
Get Down with Gloria Gaynor,0,0
Go West In the Navy,0,0
"Grainger: Works for Wind Orchestra, Vol. 2",0,0
Mozart for a Monday Morning,0,0
Odyssey (Expanded Edition),0,0
Needin' U II (feat. Juliet Roberts),0,0
My Love - Ultimate Essential Collection,0,0
Music Inspired By Star Wars and Other Galactic Funk,0,0
Music (Bonus Track Version),0,0
Mozart: Symphony Nos. 40 & 41,0,0
"Mozart: Symphony No. 40, 41 & 25 (Classic FM: Full Works)",0,0
Mozart Sinfonie Vol. 1,0,0
Living In the Past,0,0
Moulin Rouge (Soundtrack from the Motion Picture),0,0
Monteverdi: Solemn Mass for the Feast of Sancta Maria della Salute,0,0
Misunderstood (Allen Iverson presents Ty Gracie),0,0
Miles in the Movies,0,0
Miles Davis Integral 1957 - 1962 (feat. The Gil Evans Orchestra),0,0
Miami Vice (Original Motion Picture Soundtrack),0,0
Metallica (Deluxe Box Set),0,0
Of Chaos and Eternal Night - EP,0,0
One Hell Of A Ride,0,0
Ooh What a Life / Heaven - Single,0,0
Ottawan 2,0,0
Rastaman Vibration (2013 Remaster),0,0
Radu Lupu plays Schubert,0,0
Public Enemy: The Revolverlution Tour (live),0,0
"Pryda 10, Vol. I",0,0
Preppie (Expanded Edition),0,0
Pop Masters: Get Down Tonight,0,0
Plays & Sings The Blues,0,0
Physical Graffiti (Remastered),0,0
Phase - Single,0,0
Persistence Of Time,0,0
Peace Sells... But Who's Buying? (25th Anniversary),0,0
Patrick Cowley: The Ultimate Collection,0,0
Past Lives - Single,0,0
Paranoid (2009 Remastered Version),0,0
Painkiller (Bonus Track Version),0,0
Loretta Lynn - Hey Loretta,0,0
Live! (Bonus Track Version),0,0
Gratitude (Live),0,0
Hundreds and Thousands (Remixes),0,0
"Independent Women, Pt. 1 (Remixes) - EP",0,0
If You Had My Love (Remixes) - EP,0,0
If It Don't Fit - EP,0,0
I Want You To Need Me - Single,0,0
"I Like to Party, Vol. 1",0,0
I Am What I Am (2014 Club Version) - Single,0,0
Hungarian Rhapsody (Live In Budapest / 1986),0,0
Houses of the Holy (Remastered),0,0
Live in Germany 1995,0,0
"Hot Rays, Vol. 2",0,0
Honky Tonk Women / You Can't Always Get What You Want - EP,0,0
Honeysuckle Rose - Music From The Original Soundtrack,0,0
Holy Diver (Remastered),0,0
High Energy!,0,0
Hello Nasty (Deluxe Version) [Remastered],0,0
Great Performances: The Glory of Gabrieli,0,0
Jagged Little Pill (Collector's Edition),0,0
Jagged Little Pill (Remastered),0,0
"Jazz Legends (Légendes du jazz), Vol. 17/32: Coleman Hawkins - Jazz in Paris",0,0
Jimmie Skinner - His Very Best,0,0
Legend: The Best Of Willie Nelson,0,0
Legend – The Best of Bob Marley & The Wailers (2002 Edition),0,0
Legend Soul,0,0
"King of the Delta Blues Singers, Vol. 2",0,0
King Tubby Meets Lee Perry: Megawatt Dub,0,0
Kind of Blue (Legacy Edition),0,0
Kill 'Em All (Remastered),0,0
Keep Pleasing Me,0,0
Kaya (Deluxe Edition),0,0
Kaya (2013 Remaster),0,0
Karl Denver Sings Country,0,0
Jusic 30 Years of Dub and More,0,0
Jumpin' Jack Flash / Child Of The Moon - EP,0,0
Joe Lovano Quartets - Live at the Village Vanguard,0,0
Joe Gibbs Scorchers from the Early Years 1967-1973,0,0
…And Justice for All (Remastered),0,0
