target,frequency,num_of_docs_occured
Rage Against the Machine,4011,2950
Brad Paisley,3973,1811
Abigail,3779,1997
Joe Henderson,3747,2119
Faith Hill,3702,2028
Jimmy Cliff,3548,1426
"Earth, Wind & Fire",3510,1419
Tony Williams,3451,1951
Boney M.,3430,1458
Boz Scaggs,3395,1626
De La Soul,3342,2238
A Tribe Called Quest,3312,2174
Céline Dion,3295,1108
Wyclef Jean,3279,2196
Armin van Buuren,3253,1892
Joe Lovano,3136,1771
Bobby Bare,3018,1251
Gram Parsons,2976,2089
Rick Springfield,2967,1100
Blind Guardian,2914,1195
Lester Young,2911,1978
Simply Red,2901,1334
Branford Marsalis,2882,1654
Patty Loveless,2874,1282
Gamma Ray,2850,1090
Patsy Cline,2807,1974
Steve Reich,2662,2007
Burning Spear,2484,988
Charles Lloyd,2462,1072
Ladysmith Black Mambazo,2451,1060
Morphine,2418,1073
Tavares,2388,1427
Mandy Moore,2356,1241
John Anderson,2316,1011
The Statler Brothers,2240,796
Peter Tosh,2230,1128
Clifton Chenier,2224,921
Living Colour,2158,1168
P!nk,2154,643
Albert Collins,2126,1174
Travis Tritt,2096,938
Dazzle,2052,1002
Dark Tranquillity,1982,907
Billy Squier,1922,728
Freddie McGregor,1802,659
King Tubby,1774,991
Village People,1705,973
Suzy Bogguss,1685,684
Desmond Dekker,1662,612
Daniel Barenboim,1659,1270
Gloria Gaynor,1656,982
Magic Slim,1646,465
Floyd Cramer,1639,851
Johnny Paycheck,1593,730
Coal Chamber,1592,656
Falconer,1592,898
Heatwave,1560,826
Fletcher Henderson,1531,1327
James Carter,1482,611
Tom Tom Club,1451,663
Billy Ocean,1362,664
Osibisa,1352,593
Clarence Carter,1342,545
Coroner,1342,741
B.J. Thomas,1251,506
Sammy Kershaw,1234,536
Ashford & Simpson,1154,444
Buckwheat Zydeco,1127,421
Meco,1096,445
Bob Marley & The Wailers,998,419
Run-DMC,975,754
Marcia Griffiths,962,419
Ini Kamoze,919,294
Bronski Beat,904,494
"Evelyn ""Champagne"" King",867,320
Kelly Joe Phelps,861,317
Cheryl Lynn,849,376
The Heptones,845,342
Skream,829,510
New Bomb Turks,828,308
Emilio Estefan,822,697
The Kentucky Headhunters,806,325
Johnny Rodriguez,773,325
The Three Degrees,756,369
Gibson Brothers,696,287
Peter Brown,680,418
Stevie Ray Vaughan & Double Trouble,645,123
Prince Buster,620,431
The Ambassador,581,341
Young MC,570,300
The Tokens,531,305
Alfred Brendel,508,353
Billie Jo Spears,486,254
KC and the Sunshine Band,485,426
The Trammps,474,230
Carl Carlton,466,240
Terell Stafford,463,226
The Sugarhill Gang,458,272
Amii Stewart,448,265
The Ethiopians,434,169
George McCrae,414,246
Pryda,385,145
Patrick Cowley,363,186
Johnny Tillotson,350,201
Silver Convention,328,204
Bob Mintzer Big Band,326,104
Alicia Bridges,308,142
Hugh Mundell,296,111
Peaches & Herb,295,111
Miquel Brown,288,139
Kendalls,280,108
Juilliard String Quartet,280,200
Anita Ward,273,174
Larry Boone,258,170
The Tymes,254,117
"Henry ""Red"" Allen",253,91
Carl Douglas,221,167
Evelyn Thomas,206,101
Radu Lupu,198,170
The Exciters,196,129
Ray Peterson,190,126
Temper Temper,175,95
Empire Brass,170,99
Jacob's Dream,162,59
The Clark Family Experience,133,55
LTN,132,62
Hot Toddy,119,62
Jimmie Skinner,109,100
Javier Perianes,109,38
Ottawan,79,76
Johnny Preston,78,73
Harold Melvin & The Blue Notes,77,52
Shirley & Company,76,29
Karl Denver,66,65
Archie Bell & The Drells,51,22
Matthias Kirschnereit,47,10
Takako Nishizaki,40,14
Tvangeste,38,24
"Lipps, Inc.",38,11
Love & Kisses,37,26
David Christie,34,24
Marzian,33,26
Mothers Pride,33,23
"Today, Tomorrow, Forever",32,14
Magic Slim & The Teardrops,30,30
G.Q.,26,20
Boney M. 2000,22,18
LaToya Jackson,20,20
Royal Northern College of Music Wind Orchestra,15,8
Buckwheat Zydeco Ils Sont Partis,15,5
Bob Seger & The Silver Bullet Band,12,12
Bihler,12,4
Afrika Bambaataa & The Soul Sonic Force,11,11
Connie Hall,10,10
Branford Marsalis Trio,10,9
Alec Costandinos,7,7
Van McCoy & The Soul City Symphony,1,1
Joris Teepe Quintet,0,0
"Heinz Holliger, Thomas Zehetmair, Massimo Polidori & Andreas Erismann",0,0
"Juilliard String Quartet, Robert Mann, Joel Smirnoff, Samuel Rhodes & Joel Krosnick",0,0
Junia Walker AllStars,0,0
"Johnny O'Neal, Dave Young & Terry Clarke",0,0
Jxctis,0,0
"Taverner Choir, Taverner Consort & Taverner Players",0,0
"Dame Joan Sutherland, Richard Bonynge, London Symphony Orchestra, Sherrill Milnes, Christian Du Plessis, John Gibbs & Riccardo Cassinelli",0,0
Melodía Derelajación,0,0
Academy of St Martin in the Fields & Sir Neville Marriner,0,0
DJ's Z-Trip & Radar,0,0
Zydecajun & Wayne Toups,0,0
Chicago Symphony Orchestra & Daniel Barenboim,0,0
Jeroen van Veen & Sandra van Veen,0,0
Whitney Houston And Enrique Iglesias,0,0
"Christina Aguilera, Lil' Kim, Mýa & P!nk",0,0
3LW featuring NAS,0,0
Clark Rundell & Royal Northern College of Music Wind Orchestra,0,0
Udo Wachtveitl & Burchard Dabinnus,0,0
Claudio Abbado & Orchestra Mozart,0,0
Tobi Kreis,0,0
Timothy Reynish & Royal Northern College of Music Wind Orchestra,0,0
Johannes Ritzkowsky & Wolfgang Swallisch,0,0
Cru Thik & Ty Gracie,0,0
Bob Marley & Funkstar De Luxe,0,0
DJ 20 & 20 Feat. Kevin Hart & Various Artists,0,0
"Ice Cube, Mack 10 & Ms. Toi",0,0
Sir Neville Marriner & Academy of St Martin in the Fields,0,0
"Ahmed Abdullah, Marshall Allen, Clifford Barbaro, John Gilmore, Gilmore, Tyrone Hill, Ron Mcbee, Sun Ra, Sun Ra Arkestra, Jorge Silva & June Tyson",0,0
Gabriel Marchisio,0,0
Gewandhausorchester & Kurt Masur,0,0
George S. Clinton & Morphine,0,0
Los Angeles Philharmonic & Leonard Bernstein,0,0
"English Chamber Orchestra, Leonard Slatkin & José Luis Garcia",0,0
Lubo Kirov,0,0
Luke Miltenburg,0,0
Federico Procopio,0,0
Big Youth & Dennis Brown,0,0
Quiet Resonance,0,0
Oscar P & FNX OMAR,0,0
Nina Martinique,0,0
Nicholas Ward & Northern Chamber Orchestra,0,0
"Aretha Franklin, Carole King, Céline Dion, Gloria Estefan, Mariah Carey & Shania Twain",0,0
"Freddie McGregor, Gregory Isaacs & Ninjaman",0,0
Maurice André & Jean-François Paillard & Jean-François Pailla,0,0
Barrington Levy & Bounty Killer,0,0
André Previn & London Symphony Orchestra,0,0
"Gitti Pirner, Johannes Ritzkowsky & Wolfgang Swallisch",0,0
David Morales & The Face,0,0
Bounty Killer & Fugees,0,0
Dennis Brown & Bongo Herman,0,0
Heinz Holliger & Camerata Bern,0,0
"Kazimierz Kord, Warsaw Philharmonic Orchestra, Warsaw National Philharmonic Orchestra & Kaja Danczowska",0,0
"Babyface, Mariah Carey, Kenny G & Sheila E.",0,0
Dirt featuring Epsilon,0,0
Disco-Tex & His Sex-O-Lettes,0,0
Keppra & Stackhash,0,0
Andrea Bocelli & Céline Dion,0,0
E. Power Biggs & Vittorio Negri,0,0
Gunther Hasselmann,0,0
Leonard Bernstein & Israel Philharmonic Orchestra,0,0
Robert Downey Jr. And Sting,0,0
Don Armando's 2nd Ave. Rhumba Band,0,0
Rick Dees And His Cast Of Idiots,0,0
Regina Belle & Peabo Bryson,0,0
Leonard Bernstein & Los Angeles Philharmonic,0,0
ram jam world,0,0
